"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_interval","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polylon","settings_polylat"
"20230322_094441",FALSE,"CSS_V02",2002,0.270750677826777,0.259877423104416,1.36133333896342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
"20230322_094441",FALSE,"CSS_V02",2003,0.458909097458082,0.293598187579538,2.53042541230897,69,91,113,44,73.5050029130689,62.4432379421419,5.62878376053006,3.02417661362094,125,-0.183234625394762,27.8970179972943,11.837870509988,-0.00245444488506089,0,0.194863241435373,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
"20230321_093736",TRUE,"CSS_V02",2004,0.575595947675828,0.439920114974088,2.40221929452048,58,87,116,58,66.9440315024651,61.2027325041034,3.33825520622111,2.09993246109901,1,-0.193206370279959,32.7465466690633,16.0798360307406,-0.00257928043161901,0,0.168662923482497,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2004","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","27,179","56,92","57,100","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA,NA
"20230321_093554",TRUE,"CSS_V02",2005,0.498718848008345,0.463960966064474,1.60735124422743,68,83,98,30,15.3905253628717,15.8430178934089,1.27496762013411,0.989312118322096,NA,-0.278070767093219,11.2002423430127,8.09707860990077,-0.00163097556765422,0,0.124664113242162,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2005","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","27,118","56,92","57,100","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA,NA
"20230321_093442",TRUE,"CSS_V02",2006,0.695581304261275,0.699609969991953,1.66240668242525,49,82,115,66,23.2569753143367,27.1869075397372,1.38260609583173,0.728816540119312,12,-0.241002889468788,18.5321064221361,18.0612095415803,-0.00111357479371617,0,0.143411687666488,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2006","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","17,174","45,108","46,122","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA,NA
"20230322_094441",FALSE,"CSS_V02",2007,0.547121639676313,0.360952150698499,2.41216610507942,71,91,111,40,84.2168562977463,79.0126906065143,4.68961412266959,4.20490725872424,5,-0.166288357403861,28.4152870549601,11.1078590069762,-0.00205456703530232,0,0.1537717011593,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
"20230321_093256",TRUE,"CSS_V02",2008,0.558542831231718,0.523536954936882,1.43889669799547,62,86,110,48,14.743193129782,14.6122661011756,0.847437708060869,0.524986205056114,1,-0.332555169041305,11.3636571934212,13.2261346470207,-0.000315160481287958,0,0.118992172995156,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2008","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","22,144","45,108","46,122","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA,NA
"20230322_094441",FALSE,"CSS_V02",2009,0.538334360374523,0.585256521833397,2.18145776254223,72,91,110,38,33.8369232418323,44.5272958910152,4.40607257374385,2.31620185203538,125,0.145025707952475,17.7253668616797,10.1490548547014,-0.00417074698497808,0,0.143320675837876,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
"20230321_092943",TRUE,"CSS_V02",2010,0.674605353746487,0.63752139052162,2.15466304139799,53,82,111,58,54.4577747624163,34.5327181179648,7.13146693921797,1.07081923157057,12,0.0673853219959025,19.6765319553515,15.9331880778276,-0.00441241562212454,0,0.183055485754962,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2010","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","14,153","51,90","52,114","percent_thresh","0.1","TRUE","TRUE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA,NA
"20230322_094441",FALSE,"CSS_V02",2011,0.614562378540079,0.53956840977298,1.8045723408769,97,106,115,18,23.6593888500724,22.5646272513695,5.12988028961648,2.58165805279569,1,0.00866944742255598,8.42570087850274,4.64359577463239,-0.00216736951551738,0,0.166618953499549,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
