"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","settings_region","settings_sat_alg","settings_concentration_type","settings_year","settings_interval","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polylon","settings_polylat","settings_cell_size_model1","settings_cell_size_model2"
"20230404_154042",FALSE,"CLS",2002,0.349421361418324,0.3123502703039,1.66029740110853,173,186,199,26,23.4674023379611,15.5121967315702,1.18712669854881,1.21107938487905,2,-0.289479249095821,11.3308289847943,6.69403041210208,-0.00107305599890341,0,0.0871886551203115,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230404_154042",FALSE,"CLS",2003,0.61015497562571,0.61784765778623,2.19521827247739,130,144,158,28,20.4742720944445,20.7636256003403,1.69510646343848,1.40527250889132,NA,-0.291299285883328,10.7370421308039,7.50935260146885,3.23861353558012e-05,0,0.297439517572416,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230315_155505",TRUE,"CLS",2004,0.554808025117848,0.426995236819144,1.90116706259363,161,191,221,60,53.6876253281191,47.5928408641227,2.49691297429222,1.54989595428065,1,-0.361342892963959,27.8945066358958,16.2292636713955,-0.000176724226311848,0,0.134901052684965,"atlantic","modisaquar2022.0_chlpoly4","full","2004","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","117,299","122,180","176,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA,NA,"small","small"
"20230315_142727",TRUE,"CLS",2005,0.471445583181247,0.818520021084245,3.51989436180398,90,159,228,138,97.7680297762101,91.3012470020816,2.81892720595779,1.23386097145074,1,-2.09432230521798,92.7077780775342,38.1940061303737,0.00796643230979611,0,0.16861993887759,"atlantic","modisaquar2022.0_chlpoly4","full","2005","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","74,238","116,156","121,196","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA,NA,"small","small"
"20230315_143007",TRUE,"CLS",2006,0.754260234174801,0.686990780833264,2.26582386387177,132,147,162,30,28.8449860986508,30.4837307743664,2.00914439974618,2.03711316214777,NA,-1.13507259839774,14.3691489214976,7.95198771094242,0.00554288254580474,0,0.234790244592665,"atlantic","modisaquar2022.0_chlpoly4","full","2006","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","74,238","116,156","121,196","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA,NA,"small","small"
"20230404_154042",FALSE,"CLS",2007,0.545133985185428,0.63245771322267,2.22362449331513,116,128,140,24,20.1497183989988,20.7459573175224,1.79722187523807,1.84622968426239,NA,-1.08162688379695,14.4596574672637,6.36188585238233,0.00389567967413638,0,0.26850876178081,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230315_143112",TRUE,"CLS",2008,0.495314710221809,0.503713300463077,3.23442473466897,107,151,195,88,122.982569649655,117.89101954373,4.10206907974258,3.24513693624987,NA,-2.23964789735975,91.2596327142682,24.0258686334867,0.00827156223593374,0,0.182883199088108,"atlantic","modisaquar2022.0_chlpoly4","full","2008","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","93,229","130,163","131,177","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA,NA,"small","small"
"20230315_143158",TRUE,"CLS",2009,0.284473739799289,0.298149337631111,2.0212152653049,123,174,225,102,34.5935665640063,31.3889347185934,0.986129083517679,0.59345449628356,1,-1.50164752174255,52.8265264700429,28.2250009757364,0.00352946549746554,0,0.0984832978690855,"atlantic","modisaquar2022.0_chlpoly4","full","2009","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","93,296","130,163","147,207","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA,NA,"small","small"
"20230315_143752",TRUE,"CLS",2010,0.729026049418622,0.968240221536101,2.59066317646261,96,160,224,128,79.5174020872414,79.2040137600411,1.81321607409216,1.08342274055956,15,-1.92755321802998,67.6681629469279,35.4893602806551,0.00802777956029918,0,0.139731336779013,"atlantic","modisaquar2022.0_chlpoly4","full","2010","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","93,252","114,159","115,160","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA,NA,"small","small"
"20230404_154042",FALSE,"CLS",2011,0.546629673525482,0.614974026883858,1.95877345489326,161,181,201,40,31.2518878675337,31.9628719717636,1.80923964679504,1.56148621410548,NA,-0.902232810056484,19.3352987160856,10.8969152585397,0.00266633336938065,0,0.190117513175702,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
