"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max_real.","t.max_fit.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
"20240115_000000",FALSE,"CS_V02",2003,0.49651659,0.311444669,2.646140983,96,120,115,134,38,89.43412863,107.1435287,6.135501863,6.988598789,2,-0.447049063,34.89721706,10.10388175,-0.000590085,0,0.082818253,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
"20240115_000000",FALSE,"CS_V02",2004,0.472768024,0.362270506,1.854715183,94,123,116,138,44,52.61815214,52.54165668,2.423322856,2.542627276,NA,-0.393471814,26.97816896,11.75452615,-0.000522755,0,0.104250553,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
"20240115_000000",FALSE,"CS_V02",2005,0.425867218,0.393643953,1.573074273,88,109,108,128,40,16.241974,16.97692216,0.93752617,0.788922078,NA,-0.365083523,13.43386652,10.68543833,-0.000695059,0,0.085106218,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
"20240115_000000",FALSE,"CS_V02",2006,0.857484996,0.577053889,2.655003834,76,101,97,118,42,195.1376776,203.5757085,13.29657378,11.78951896,NA,-0.43207366,42.36046331,11.66731778,0.000730714,0,0.110958838,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
"20240115_000000",FALSE,"CS_V02",2007,0.670921984,0.426998871,2.530822894,95,116,119,143,48,104.0592939,110.2447755,5.135858708,5.251531999,NA,-0.361609359,37.57968015,12.9336648,-0.000387068,0,0.101675261,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
"20240115_223646",TRUE,"CS_V02",2008,0.436325769072672,0.414680124610857,1.31831090615165,115,123,127,139,24,6.04598189949817,5.26761280066903,0.583805558154486,0.369853497765664,1,-0.488462293332242,4.81857591799352,6.66794640725203,0.000648404409033039,0,0.0905894243917341,"gosl4km","modisaquar2022.0_chleof","full","small","small","2008","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.22","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2008,2008","CS_V02","CS_V02","",NA
"20240115_000000",FALSE,"CS_V02",2009,0.646090674,0.507835166,2.076847963,73,103,100,127,54,74.27165302,71.13388611,4.513318906,2.957313998,1,-1.018267989,42.20522679,14.71300153,0.003770913,0,0.114722895,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
"20240115_231748",TRUE,"CS_V02",2010,0.501283335527921,0.473215620359511,1.49634318274649,73,80,83,93,20,8.34765932686954,8.19384038092286,0.656650135933713,0.750123048154401,NA,-0.222693701257804,5.09290404014037,5.20607408890226,-0.000788017671203204,0,0.135819541004517,"gosl4km","modisaquar2022.0_chleof","full","small","small","2010","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","43,97","50,98","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2010,2010","CS_V02","CS_V02","",NA
"20240115_000000",FALSE,"CS_V02",2011,0.496426433,0.396532779,2.093080862,103,115,116,129,26,42.2348315,45.8412186,4.180712807,3.802514961,NA,-0.376419891,18.72422135,7.172774303,-0.000375355,0,0.110534371,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
"20240115_000000",FALSE,"CS_V02",2012,0.560757762,0.347945569,2.582978529,72,111,103,134,62,106.2555315,91.50714321,6.544038947,3.095335951,1,-0.314271101,42.40213889,17.25812878,-0.001234759,0,0.13969474,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
