"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max_real.","t.end.","t.duration.","Magnitude","Amplitude","Threshold","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
"20230823_121143",FALSE,"CLS",2003,0.609941586,0.580295948,1.796581959,NA,271,NA,NA,NA,NA,0.665492451,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","151,365","151,270","227,343","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2023","CLS,GS,LAS","LAS","",NA
"20230823_121143",FALSE,"CLS",2004,0.585640819,0.418282053,1.911654961,NA,240,251,NA,NA,NA,0.482213031,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","151,365","151,270","227,343","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2023","CLS,GS,LAS","LAS","",NA
"20230823_121143",FALSE,"CLS",2005,0.953916575,0.889171509,1.497406974,NA,241,NA,NA,NA,NA,0.94620554,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","151,365","151,270","227,343","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2023","CLS,GS,LAS","LAS","",NA
"20230823_121143",FALSE,"CLS",2006,0.772524515,0.700488838,1.68696281,267,271,276,9,1.224455852,0.168606152,0.749446001,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","151,365","151,270","227,343","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2023","CLS,GS,LAS","LAS","",NA
"20230823_121143",FALSE,"CLS",2007,0.717156107,0.728913907,1.447846521,NA,236,236,NA,NA,NA,0.765359603,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","151,365","151,270","227,343","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2023","CLS,GS,LAS","LAS","",NA
"20230823_121143",FALSE,"CLS",2008,0.413708914,0.366342631,1.805918146,261,261,261,0,0,0.096022007,0.378090989,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","151,365","151,270","227,343","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2023","CLS,GS,LAS","LAS","",NA
"20230823_121143",FALSE,"CLS",2009,0.384405389,0.333207054,1.653611725,275,275,NA,NA,NA,NA,0.349867407,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","151,365","151,270","227,343","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2023","CLS,GS,LAS","LAS","",NA
"20230823_121143",FALSE,"CLS",2010,1.055651761,1.008779063,1.474482562,231,233,235,4,2.576509884,0.886761827,1.07929072,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","151,365","151,270","227,343","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2023","CLS,GS,LAS","LAS","",NA
"20230823_121143",FALSE,"CLS",2011,0.681044083,0.619235277,1.531942104,181,231,231,50,27.97816867,0.230947882,0.650197041,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","151,365","151,270","227,343","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2023","CLS,GS,LAS","LAS","",NA
"20230823_121143",FALSE,"CLS",2012,1.101503417,1.047400582,1.758407598,248,254,254,6,2.738498137,0.481447642,1.043471315,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","151,365","151,270","227,343","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2023","CLS,GS,LAS","LAS","",NA
