"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max_real.","t.max_fit.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
"2024-02-13-092653",FALSE,"CLS",2003,1.140332302,0.769059132,1.112314214,135,141,143,151,16,34.63825032,34.00871193,4.146099208,3.472946888,NA,1.986698953,35.88561945,4.122231442,-0.005473802,0,0.207967718,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2004,0.743258737,0.4486829,0.616919536,174,192,191,208,34,41.87313232,40.75608923,2.469275455,1.895581294,NA,0.795729848,43.51633445,9.158407376,-0.001256364,0,0.266836879,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2005,0.926553653,0.832456326,0.629905856,105,195,195,285,180,176.2441487,178.0815636,3.733872008,1.527495403,1,0,192.061289,50.16143975,0.000220631,0,0.26448888,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2006,1.147850753,0.766665061,0.906673542,195,204,204,213,18,35.25197632,33.74133063,3.050179163,2.90462332,NA,1.7502337,36.33205619,4.990111195,-0.003886904,0,0.302535362,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2007,0.913375684,0.724571928,0.688458029,118,128,128,138,20,33.93733875,38.93114744,3.147985716,3.159128162,NA,0.602610867,41.17309123,5.1994367,0.000698151,0,0.291327172,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2008,0.765475559,0.378344757,1.044153822,119,137,147,175,56,119.590569,129.1554404,4.580341926,3.645604665,NA,0.170956946,137.9256269,15.09334367,0.00092601,0,0.315064198,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2009,0.408384366,0.319550143,0.312974917,137,170,175,213,76,37.58141916,34.92455739,1.178230788,0.711365046,1,0,37.62230193,21.09905035,0.001141458,0,0.135462025,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2010,0.986438396,0.999335038,0.610169615,123,164,164,205,82,49.62888606,47.3832012,1.680713059,0.898337938,1,0,50.94849551,22.62568253,0.004398857,0,0.309935146,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2011,0.8595226,0.626081315,0.991995711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2012,1.352878029,1.05822425,0.976657658,134,152,153,172,38,66.35195691,64.0009107,3.26738497,2.694275303,NA,0.064489161,68.03514637,10.07398777,0.003536637,0,0.214910128,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2013,0.541906556,0.472068605,0.329010529,139,157,157,175,36,23.70164873,19.57226615,1.080444323,0.874030258,2,0.172179901,20.7684158,9.479533558,0.001654269,0,0.261508768,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2014,1.46622362,0.520876997,2.912574528,134,144,146,158,24,138.9233736,124.0010479,15.71499474,8.294490346,1,1.163397238,131.6464644,6.331834572,-0.002384207,0,0.308472755,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2015,2.961928359,0.987449967,5.859517876,121,137,134,147,26,281.3698927,331.4883285,31.91936438,20.79275033,12,5,350,6.715311633,-0.016666196,0,0.405776613,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2016,2.258777389,1.540374115,2.159385546,130,167,205,280,150,342.0409598,324.5857391,7.911988525,3.34238162,1,1.432527909,350,41.77554032,-0.005219848,0,0.433525066,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2017,2.483214021,1.819255858,2.668916595,165,183,183,201,36,173.1057745,150.4847155,10.72443472,6.713211955,1,0,159.741001,9.492838842,0.007209998,0,0.456090018,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2018,1.23337952,1.081246098,0.9052341,152,169,169,186,34,53.08916901,55.25219902,3.862680362,2.588420888,1,2.003699855,58.83000146,9.067217411,-0.00433814,0,0.31701629,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2019,1.710238438,0.579340667,2.538947317,177,185,186,195,18,96.39575557,77.53401338,8.003962365,6.810559643,2,1.251968519,82.79001554,4.849592299,-0.002464925,0,0.531835772,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2020,0.789038378,0.623262238,0.754556153,152,175,175,198,46,69.43522478,69.15823923,2.701408032,2.356773576,NA,0,74.10252865,12.54368772,0.002260887,0,0.242865528,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
