"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max_fit.","t.max_real.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
"20230404_154042",FALSE,"CLS",2003,0.610154976,0.617847658,2.195218272,130,144,131,158,28,20.47427209,20.7636256,1.695106463,1.405272509,NA,-0.291299286,10.73704213,7.509352601,3.24e-05,0,0.297439518,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230315_155505",TRUE,"CLS",2004,0.554808025117848,0.426995236819144,1.90116706259363,161,191,187,221,60,53.6876253281191,47.5928408641227,2.49691297429222,1.54989595428065,1,-0.361342892963959,27.8945066358958,16.2292636713955,-0.000176724226311848,0,0.134901052684965,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2004","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","117,299","122,180","176,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS",NA,NA
"20230315_142727",TRUE,"CLS",2005,0.471445583181247,0.818520021084245,3.51989436180398,90,159,195,228,138,97.7680297762101,91.3012470020816,2.81892720595779,1.23386097145074,1,-2.09432230521798,92.7077780775342,38.1940061303737,0.00796643230979611,0,0.16861993887759,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2005","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","74,238","116,156","121,196","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA
"20230315_143007",TRUE,"CLS",2006,0.754260234174801,0.686990780833264,2.26582386387177,132,147,152,162,30,28.8449860986508,30.4837307743664,2.00914439974618,2.03711316214777,NA,-1.13507259839774,14.3691489214976,7.95198771094242,0.00554288254580474,0,0.234790244592665,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2006","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","74,238","116,156","121,196","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA
"20230404_154042",FALSE,"CLS",2007,0.545133985,0.632457713,2.223624493,116,128,123,140,24,20.1497184,20.74595732,1.797221875,1.846229684,NA,-1.081626884,14.45965747,6.361885852,0.00389568,0,0.268508762,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230315_143112",TRUE,"CLS",2008,0.495314710221809,0.503713300463077,3.23442473466897,107,151,141,195,88,122.982569649655,117.89101954373,4.10206907974258,3.24513693624987,NA,-2.23964789735975,91.2596327142682,24.0258686334867,0.00827156223593374,0,0.182883199088108,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2008","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","93,229","130,163","131,177","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA
"20230315_143158",TRUE,"CLS",2009,0.284473739799289,0.298149337631111,2.0212152653049,123,174,144,225,102,34.5935665640063,31.3889347185934,0.986129083517679,0.59345449628356,1,-1.50164752174255,52.8265264700429,28.2250009757364,0.00352946549746554,0,0.0984832978690855,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2009","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","93,296","130,163","147,207","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA
"20230315_143752",TRUE,"CLS",2010,0.729026049418622,0.968240221536101,2.59066317646261,96,160,194,224,128,79.5174020872414,79.2040137600411,1.81321607409216,1.08342274055956,15,-1.92755321802998,67.6681629469279,35.4893602806551,0.00802777956029918,0,0.139731336779013,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2010","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","93,252","114,159","115,160","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA
"20230404_154042",FALSE,"CLS",2011,0.546629674,0.614974027,1.958773455,161,181,185,201,40,31.25188787,31.96287197,1.809239647,1.561486214,NA,-0.90223281,19.33529872,10.89691526,0.002666333,0,0.190117513,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230404_154042",FALSE,"CLS",2012,0.909801669,0.980377623,2.279538876,125,153,146,181,56,74.03262712,64.74248442,2.74231386,2.422755454,NA,-1.204610362,36.22805841,15.29458091,0.004550828,0,0.195939542,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
