"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max_real.","t.end.","t.duration.","Magnitude","Amplitude","Threshold","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
NA,FALSE,"CS_V02",2003,0.672845711970177,0.737210180639031,1.42702825352814,231,244,252,21,7.11303027391631,0.531472093458837,0.763989878511472,"gosl4km","modisaquar2022.0_chleof","full","small","small","2024","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","212,365","212,265","213,364","percent_thresh","20","0.1","FALSE","FALSE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
NA,FALSE,"CS_V02",2004,0.780780998552537,0.804968444047964,1.38892354425138,242,249,255,13,6.44308799114656,0.684163273486366,0.78583685796208,"gosl4km","modisaquar2022.0_chleof","full","small","small","2024","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","212,365","212,265","213,364","percent_thresh","20","0.1","FALSE","FALSE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
NA,FALSE,"CS_V02",2005,0.570129609329787,0.523137323884736,1.47036452954056,254,277,NA,NA,NA,NA,0.555683707470447,"gosl4km","modisaquar2022.0_chleof","full","small","small","2024","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","212,365","212,265","213,364","percent_thresh","20","0.1","FALSE","FALSE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
NA,FALSE,"CS_V02",2006,0.948104875572928,0.976223821776642,1.38005978829888,237,290,NA,NA,NA,NA,0.997068649278797,"gosl4km","modisaquar2022.0_chleof","full","small","small","2024","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","212,365","212,265","213,364","percent_thresh","20","0.1","FALSE","FALSE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
NA,FALSE,"CS_V02",2007,0.694585390186645,0.724434568424735,1.34217393649645,257,306,NA,NA,NA,NA,0.753139930551638,"gosl4km","modisaquar2022.0_chleof","full","small","small","2024","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","212,365","212,265","213,364","percent_thresh","20","0.1","FALSE","FALSE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
NA,FALSE,"CS_V02",2008,0.879145420849398,0.945151146015454,1.5074261625144,263,311,NA,NA,NA,NA,1.0846332732107,"gosl4km","modisaquar2022.0_chleof","full","small","small","2024","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","212,365","212,265","213,364","percent_thresh","20","0.1","FALSE","FALSE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
NA,FALSE,"CS_V02",2009,0.728982252083207,0.775316541655892,1.28148960584961,290,324,NA,NA,NA,NA,0.811873540336738,"gosl4km","modisaquar2022.0_chleof","full","small","small","2024","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","212,365","212,265","213,364","percent_thresh","20","0.1","FALSE","FALSE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
NA,FALSE,"CS_V02",2010,0.683975996785959,0.737319309312524,1.41828601116824,237,249,270,33,13.8445313960404,0.662720153390099,0.753569891516252,"gosl4km","modisaquar2022.0_chleof","full","small","small","2024","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","212,365","212,265","213,364","percent_thresh","20","0.1","FALSE","FALSE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
NA,FALSE,"CS_V02",2011,0.60145085795958,0.578964487231521,1.35019018269075,252,288,NA,NA,NA,NA,0.589584283762149,"gosl4km","modisaquar2022.0_chleof","full","small","small","2024","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","212,365","212,265","213,364","percent_thresh","20","0.1","FALSE","FALSE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
NA,FALSE,"CS_V02",2012,0.610842115757831,0.605311419762259,1.59181915304927,262,301,NA,NA,NA,NA,0.625275566450182,"gosl4km","modisaquar2022.0_chleof","full","small","small","2024","1","TRUE","1","20","sd3","average","","","thresh","asymmetric","loess","0.2","212,365","212,265","213,364","percent_thresh","20","0.1","FALSE","FALSE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
