datetime_fitted,manual_fit,Region,Year,Mean,Median,StDev,t.start.,t.max_real.,t.max_fit.,t.end.,t.duration.,Magnitude.real.,Magnitude.fit.,Amplitude.real.,Amplitude.fit.,Flags,B0,h,sigma,beta,failure_code,RMSE,settings_region,settings_sat_alg,settings_concentration_type,settings_cell_size_model1,settings_cell_size_model2,settings_year,settings_composite,settings_log_chla,settings_yearday_slide,settings_percent,settings_outlier,settings_dailystat,settings_pixrange1,settings_pixrange2,settings_fitmethod,settings_bloomShape,settings_smoothMethod,settings_loessSpan,settings_t_range,settings_ti_limits,settings_tm_limits,settings_ti_threshold_type,settings_ti_threshold_percent,settings_ti_threshold_constant,settings_tm,settings_beta,settings_use_weights,settings_rm_bkrnd,settings_flag1_lim1,settings_flag1_lim2,settings_flag2_lim1,settings_flag2_lim2,settings_threshcoef,settings_fullrunoutput_png,settings_fullrunoutput_statcsv,settings_fullrunyears,settings_fullrunboxes,settings_box,settings_custom_name,settings_polystr
,TRUE,SPB,2003,0.357063313,0.299082776,2.425222148,101,121,120,139,38,73.32295206,55.61656982,7.088164359,3.356349929,12,-0.318182482,32.50964638,10.47832097,-0.003065138,0,0.09397669,atlantic,modisaquar2022.0_chlpoly4,full,small,small,2003,1,TRUE,1,20,none,average,"","",gauss,symmetric,loess,0.2,"25,185","60,151","90,180",percent_thresh,20,0.1,TRUE,TRUE,TRUE,TRUE,0.75,1.25,0.85,1.15,1.05,FALSE,TRUE,"2002,2024",SPB,custom,"",
,TRUE,SPB,2004,0.476847332,0.397919208,2.39617134,91,122,119,147,56,71.49113755,52.21077363,7.057091613,1.964147383,12,-0.407032046,37.5007726,15.43521757,-0.001846518,0,0.178400951,atlantic,modisaquar2022.0_chlpoly4,full,small,small,2004,1,TRUE,1,20,none,average,"","",gauss,symmetric,loess,0.2,"20,190","60,151","90,180",percent_thresh,20,0.1,TRUE,TRUE,TRUE,TRUE,0.75,1.25,0.85,1.15,1.05,FALSE,TRUE,"2002,2024",SES,custom,"",
,TRUE,SPB,2005,0.388830595,0.318833759,2.503533245,83,106,104,125,42,34.03401969,27.67530634,6.36473865,1.355618624,12,-0.365380981,24.39934037,11.39122728,-0.002803796,0,0.174120685,atlantic,modisaquar2022.0_chlpoly4,full,small,small,2005,1,TRUE,1,20,none,average,"","",gauss,symmetric,loess,0.2,"20,190","60,151","90,180",percent_thresh,20,0.1,TRUE,TRUE,TRUE,TRUE,0.75,1.25,0.85,1.15,1.05,FALSE,TRUE,"2002,2024",AC,custom,"",
,TRUE,SPB,2006,0.37755026,0.287327278,2.566449515,99,121,115,131,32,95.72315326,77.23643706,17.18152282,6.149335124,12,-0.215172387,31.70149953,8.535291383,-0.00402759,0,0.161847313,atlantic,modisaquar2022.0_chlpoly4,full,small,small,2006,1,TRUE,1,20,none,average,"","",gauss,symmetric,loess,0.2,"15,185","60,151","90,180",percent_thresh,20,0.1,TRUE,TRUE,TRUE,TRUE,0.75,1.25,0.85,1.15,1.05,FALSE,TRUE,"2002,2024",HIB,custom,"",
,TRUE,SPB,2007,0.3997714,0.382071488,2.496607369,89,116,112,135,46,44.84175594,38.50399881,3.868773337,1.781539868,1,-0.167249574,29.14511825,12.36055632,-0.00419417,0,0.170250579,atlantic,modisaquar2022.0_chlpoly4,full,small,small,2007,1,TRUE,1,20,none,average,"","",gauss,symmetric,loess,0.2,"20,185","60,151","90,180",percent_thresh,20,0.1,TRUE,TRUE,TRUE,TRUE,0.75,1.25,0.85,1.15,1.05,FALSE,TRUE,"2002,2024",NENS,custom,"",
,TRUE,SPB,2008,0.367286255,0.325058376,1.815863078,100,112,124,148,48,28.91128284,29.35134871,1.220267015,1.23999676,,-0.30222847,27.81868825,13.1686357,-0.003062725,0,0.10240692,atlantic,modisaquar2022.0_chlpoly4,full,small,small,2008,1,TRUE,1,20,none,average,"","",gauss,symmetric,loess,0.2,"30,190","60,151","90,180",percent_thresh,20,0.1,TRUE,TRUE,TRUE,TRUE,0.75,1.25,0.85,1.15,1.05,FALSE,TRUE,"2002,2024",SAB,custom,"",
,TRUE,SPB,2009,0.25608597,0.185117148,2.510903898,92,119,114,136,44,42.83526529,32.61018996,2.996424488,1.580642812,12,-0.420977998,28.09863661,11.85232829,-0.002401315,0,0.125288801,atlantic,modisaquar2022.0_chlpoly4,full,small,small,2009,1,TRUE,1,20,none,average,"","",gauss,symmetric,loess,0.2,"30,235","60,151","90,180",percent_thresh,20,0.1,TRUE,TRUE,TRUE,TRUE,0.75,1.25,0.85,1.15,1.05,FALSE,TRUE,"2002,2024",HB,custom,"",
,TRUE,SPB,2010,0.54629424,0.411662027,2.327058062,48,115,96,144,96,76.53579074,65.84087967,4.249546887,1.420935265,1,-0.676950038,59.36473097,26.3166804,-0.000124556,0,0.192347927,atlantic,modisaquar2022.0_chlpoly4,full,small,small,2010,1,TRUE,1,20,none,average,"","",gauss,symmetric,loess,0.2,"30,190","60,151","90,180",percent_thresh,20,0.1,TRUE,TRUE,TRUE,TRUE,0.75,1.25,0.85,1.15,1.05,FALSE,TRUE,"2002,2024",FP,custom,"",
,TRUE,SPB,2011,0.546885333,0.478698621,2.231290954,89,113,110,131,42,42.68998426,40.91463388,2.679186873,2.035114159,,-0.221167405,24.88050025,11.29582988,-0.002612521,0,0.146783554,atlantic,modisaquar2022.0_chlpoly4,full,small,small,2011,1,TRUE,1,20,none,average,"","",gauss,symmetric,loess,0.2,"1,190","60,151","90,180",percent_thresh,20,0.1,TRUE,TRUE,TRUE,TRUE,0.75,1.25,0.85,1.15,1.05,FALSE,TRUE,"2002,2024",SPB,custom,"",
,TRUE,SPB,2012,0.354640214,0.338517734,2.790097263,89,105,111,133,44,41.16063227,41.44531117,3.715800543,2.107495182,1,-0.408816333,34.10425089,12.00925295,-0.003307468,0,0.124044848,atlantic,modisaquar2022.0_chlpoly4,full,small,small,2012,1,TRUE,1,20,none,average,"","",gauss,symmetric,loess,0.2,"25,182","60,151","90,180",percent_thresh,20,0.1,TRUE,TRUE,TRUE,TRUE,0.75,1.25,0.85,1.15,1.05,FALSE,TRUE,"2002,2024",SES,custom,"",
,TRUE,SPB,2013,0.353771552,0.36999019,2.121889597,97,112,113,129,32,29.86716667,29.42268582,2.80517684,1.997898879,1,-0.127458097,21.52380115,8.596328856,-0.00464578,0,0.108923396,atlantic,modisaquar2022.0_chlpoly4,full,small,small,2013,1,TRUE,1,20,none,average,"","",gauss,symmetric,loess,0.2,"25,182","60,151","90,180",percent_thresh,20,0.1,TRUE,TRUE,TRUE,TRUE,0.75,1.25,0.85,1.15,1.05,FALSE,TRUE,"2002,2024",AC,custom,"",
