"datetime_fitted","manual_fit","Region","Year","Annual_Mean","Annual_Median","Annual_StDev","t.start.","t.max_real.","t.end.","t.duration.","Magnitude","Amplitude","Threshold","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_log_chla","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
"20250310_132011",FALSE,"CLS",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250310_132011",FALSE,"CLS",1998,0.418474395606482,0.476411714643855,2.52209663270253,NA,232,NA,NA,NA,NA,0.632739389561473,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250310_132011",FALSE,"CLS",1999,0.354514869313445,0.376173281581657,1.93501414524083,279,279,279,0,0,0.256329243732432,0.490142973867806,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250311_085847",TRUE,"CLS",2000,0.37355706799119,0.378520181670511,2.21820297131254,260,263,266,6,0.200334953975486,0.0781074899468288,0.478680379230848,"atlantic","occciv6.0_chlpoly4","full","small","small","2000","1","1","20","sd3","average","-Inf","Inf","thresh","symmetric","nofit","TRUE","0.2","183,365","215,273","263,322","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20250311_085849",TRUE,"CLS",2001,0.470200705382288,0.526239472496855,2.45459016976051,264,264,264,0,0,0.126216795085937,0.637359038750848,"atlantic","occciv6.0_chlpoly4","full","small","small","2001","1","1","20","sd3","average","-Inf","Inf","thresh","symmetric","nofit","TRUE","0.2","222,365","222,273","264,322","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20250311_085852",TRUE,"CLS",2002,0.367346298347701,0.289837948147652,2.29002986463284,246,269,292,46,0.637076419446414,0.0771558446378005,0.283784843668041,"atlantic","occciv6.0_chlpoly4","full","small","small","2002","1","1","20","sd3","average","-Inf","Inf","thresh","symmetric","nofit","TRUE","0.2","222,365","222,273","264,322","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20250311_085855",TRUE,"CLS",2003,0.364949118797155,0.353795847203931,3.20227374551218,269,271,273,4,0.23037914201947,0.109069680526206,0.411393786348703,"atlantic","occciv6.0_chlpoly4","full","small","small","2003","1","1","20","sd3","average","-Inf","Inf","thresh","symmetric","nofit","TRUE","0.2","222,365","222,273","264,322","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20250311_085857",TRUE,"CLS",2004,0.376012794409806,0.409783175506981,2.78729495558819,264,264,264,0,0,0.137767076339223,0.424160660454204,"atlantic","occciv6.0_chlpoly4","full","small","small","2004","1","1","20","sd3","average","-Inf","Inf","thresh","symmetric","loess","TRUE","0.2","218,365","226,266","227,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20250310_132011",FALSE,"CLS",2005,0.53468594371722,0.737979199200683,3.06719128459795,NA,223,NA,NA,NA,NA,0.893977854701241,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250311_085900",TRUE,"CLS",2006,0.547015047967819,0.604142076760825,2.84767645556334,266,272,278,12,1.48773498447845,0.135049609058484,0.712019808233228,"atlantic","occciv6.0_chlpoly4","full","small","small","2006","1","1","20","sd3","average","-Inf","Inf","thresh","symmetric","loess","TRUE","0.2","218,365","226,266","227,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20250310_132011",FALSE,"CLS",2007,0.456804518566089,0.56654935607913,2.90646477511204,NA,220,NA,NA,NA,NA,0.748005911431309,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250310_132011",FALSE,"CLS",2008,0.31969285247962,0.314071989355412,2.96271838078015,257,305,353,96,1.89578073063806,0.0198230033852224,0.335746834133078,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250310_132011",FALSE,"CLS",2009,0.276707800064762,0.262844246769148,2.68111558357927,275,281,287,12,0.145036651558601,0.036334707633984,0.318219682177341,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250311_085902",TRUE,"CLS",2010,0.549165428403453,0.801644405737371,2.70322968530661,256,256,256,0,0,0,1.00825565816378,"atlantic","occciv6.0_chlpoly4","full","small","small","2010","1","1","20","sd3","average","-Inf","Inf","thresh","symmetric","nofit","TRUE","0.2","222,365","222,263","255,277","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20250311_085905",TRUE,"CLS",2011,0.39955921089319,0.442118615978579,2.86894376957205,269,269,269,0,0,0.0496301023762601,0.596431299575793,"atlantic","occciv6.0_chlpoly4","full","small","small","2011","1","1","20","sd3","average","-Inf","Inf","thresh","symmetric","nofit","TRUE","0.2","222,365","222,263","255,277","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20250310_132011",FALSE,"CLS",2012,0.41959725090567,0.495672986429,3.23296432668754,249,249,249,0,0,0.598984116348343,0.867787006749964,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250311_085908",TRUE,"CLS",2013,0.362732563055269,0.407680276304723,2.52608179525394,273,277,281,8,0.0122635900658739,0.00875982825777577,0.541587777860315,"atlantic","occciv6.0_chlpoly4","full","small","small","2013","1","1","20","sd3","average","-Inf","Inf","thresh","symmetric","loess","TRUE","0.2","198,365","198,257","230,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20250310_132011",FALSE,"CLS",2014,0.413631000842277,0.404333908158239,3.13605636202554,252,265,278,26,2.30059982488212,0.198163389736673,0.497538983657851,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250310_132011",FALSE,"CLS",2015,0.459868334476278,0.478835066224924,3.46602999428639,266,273,280,14,7.21233638212244,0.690444340273423,0.474771521603711,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250310_132011",FALSE,"CLS",2016,0.761251786521279,1.07325817450334,3.9183351915164,235,255,275,40,22.9232348768207,0.989870263447485,1.43480755839104,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250310_132011",FALSE,"CLS",2017,0.617097655624164,0.714344472732468,3.95304035405914,NA,215,NA,NA,NA,NA,1.32130752691784,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250310_132011",FALSE,"CLS",2018,0.549462804329892,0.552353770159681,2.7111447568907,NA,215,NA,NA,NA,NA,0.990462296256851,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250310_132011",FALSE,"CLS",2019,0.414862934037076,0.509674497744595,3.2449540068674,284,300,316,32,1.21387049558549,0.0743060969228238,0.566194626839299,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250310_132011",FALSE,"CLS",2020,0.374424811939418,0.413385841168238,2.97932161838208,245,254,263,18,5.18633476329242,0.351991823185232,0.551579428246537,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250311_085911",TRUE,"CLS",2021,0.615492803058844,0.876531540983244,3.05916699283705,274,274,274,0,0,0.155860745407387,0.955985596395194,"atlantic","occciv6.0_chlpoly4","full","small","small","2021","1","1","10","sd3","average","-Inf","Inf","thresh","symmetric","loess","TRUE","0.2","222,365","222,292","255,329","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20250310_132011",FALSE,"CLS",2022,0.654821974151191,0.875672021608526,3.1461769896358,241,243,245,4,1.5653506262661,0.324020749016501,1.07834698252833,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250310_132011",FALSE,"CLS",2023,0.465402677828039,0.476859061068749,2.64506038855675,239,306,373,134,8.65713812752426,0.062549748553945,0.415012907134686,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250311_085913",TRUE,"CLS",2024,0.568499325905994,0.665798552428958,2.96563377093671,245,283,321,76,-2.96882460221197,0.00679733269419747,0.810296338408447,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","-Inf","Inf","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20250310_132011",FALSE,"GS",1997,0.342488792247428,0.337675003832606,1.29059982278635,NA,275,NA,NA,NA,NA,0.338254582534058,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250311_085915",TRUE,"GS",1998,0.695388253823338,0.600251999856651,3.67581218365051,227,234,241,14,6.46385571194412,1.34451380789387,0.795058563884201,"atlantic","occciv6.0_chlpoly4","full","small","small","1998","1","1","20","sd3","average","-Inf","Inf","thresh","symmetric","loess","TRUE","0.2","151,365","201,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","GS","",NA
"20250310_132011",FALSE,"GS",1999,0.566139903399772,0.407226842068392,2.94269804501963,237,260,283,46,16.9611978575999,1.39131517489188,0.395287135421306,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250310_132011",FALSE,"GS",2000,0.511431386109816,0.404022775708818,3.00576433578673,275,277,279,4,0.290199574151584,0.220073106185314,0.359709570204876,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250310_132011",FALSE,"GS",2001,0.41346821710474,0.30018695298521,3.45227961742154,279,286,293,14,1.48864484113536,0.387403706474098,0.28127505214856,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250310_132011",FALSE,"GS",2002,0.555388558566871,0.385103343543258,2.86144945354729,NA,230,NA,NA,NA,NA,0.265748493495048,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250311_085918",TRUE,"GS",2003,0.713297809952742,0.462715384779766,3.7322218736647,262,271,280,18,7.33919693560329,0.568022720552717,0.502535526448452,"atlantic","occciv6.0_chlpoly4","full","small","small","2003","1","1","20","sd3","average","-Inf","Inf","thresh","symmetric","loess","TRUE","0.2","215,365","221,266","222,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","GS","",NA
"20250310_132011",FALSE,"GS",2004,0.785632666715078,0.880038816720615,2.75184234292005,253,285,317,64,15.9084931048324,0.887467076044316,0.90524301196303,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250311_085920",TRUE,"GS",2005,0.498384574365846,0.455784538659969,2.64107533977695,265,270,275,10,2.01543280159077,0.273967343506352,0.491516204129989,"atlantic","occciv6.0_chlpoly4","full","small","small","2005","1","1","20","sd3","average","-Inf","Inf","thresh","symmetric","loess","TRUE","0.2","218,365","226,266","227,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","GS","",NA
"20250311_085922",TRUE,"GS",2006,0.565106511660583,0.376561943549783,3.40053605444431,248,257,266,18,1.13480588859226,0.150623077544541,0.324460247179962,"atlantic","occciv6.0_chlpoly4","full","small","small","2006","1","1","20","sd3","average","-Inf","Inf","thresh","symmetric","loess","TRUE","0.2","218,365","226,266","227,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","GS","",NA
"20250310_132011",FALSE,"GS",2007,0.575795579045641,0.402783502205162,2.9204492078798,216,216,216,0,0,0.20626150112354,0.37977320027111,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250311_085924",TRUE,"GS",2008,0.396954316064995,0.392673630292607,2.29601013475087,210,237,264,54,13.7653774560948,0.359926290846153,0.395077976046339,"atlantic","occciv6.0_chlpoly4","full","small","small","2008","1","1","20","sd3","average","-Inf","Inf","thresh","symmetric","loess","TRUE","0.2","186,365","186,286","218,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","GS","",NA
"20250310_132011",FALSE,"GS",2009,0.485754201238547,0.296608241626101,3.5447803775549,268,276,284,16,2.21183804010855,0.180515736843038,0.295123422426941,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
"20250310_132011",FALSE,"GS",2010,0.472203419535893,0.410008980506517,2.64904719135161,250,259,268,18,7.47939765505424,0.58390219073935,0.494022344896487,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","thresh","symmetric","loess","TRUE","0.2","200,365","200,266","215,364","percent_thresh","20","0.1","FALSE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CLS,GS,LAS","custom","",NA
