"datetime_fitted","manual_fit","Region","Year","Annual_Mean","Annual_Median","Annual_StDev","t.start.","t.max_real.","t.max_fit.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","RMSLE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_log_chla","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
"2024-11-19-123448",FALSE,"CLS",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","custom","",NA
"2024-11-19-123448",FALSE,"CLS",1998,0.420659449,0.476411715,2.520211866,85,160,160,235,150,89.99978013,91.89012117,1.573965154,1.226624362,4,-1.442824234,99.37329379,41.8031638,0.003969223,0,0.209983306,0.129036954,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","custom","",NA
"2024-11-19-123448",FALSE,"CLS",1999,0.354308209,0.375654487,1.938872317,85,171,154,223,138,44.70927831,38.7608754,0.929875229,0.498095121,14,-1.179378813,51.37134889,38.45891069,0.003210963,0,0.135536159,0.092483938,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","custom","",NA
"2024-11-19-123448",FALSE,"CLS",2000,0.372403359,0.378520182,2.226222975,145,179,179,213,68,44.07504432,40.40873049,1.957434346,1.165305546,1,-0.90316295,32.63097191,18.42146997,0.001999669,0,0.213948988,0.125611087,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","custom","",NA
"20241120_095616",TRUE,"CLS",2001,0.474243292825051,0.535780669754915,2.45047494320464,116,185,185,254,138,122.233974593703,162.749258249234,2.06380897329447,2.550556739407,24,-1.05670613394881,106.394440752491,38.4589106933511,0.00213686657430635,0,0.505510066415806,0.203530270343119,"atlantic","occciv6.0_chlpoly4","full","small","small","2001","1","1","30","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","49,316","116,267","120,271","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"2024-11-19-123448",FALSE,"CLS",2002,0.366581447,0.289837948,2.293524572,151,181,178,205,54,98.65123036,88.72601603,4.820987222,3.870199444,NA,-0.760176371,46.20473155,14.59782714,0.000615592,0,0.286138042,0.155570966,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","custom","",NA
"2024-11-19-123448",FALSE,"CLS",2003,0.3636205,0.353795847,3.155492411,117,141,186,255,138,105.2760055,89.42668711,2.017655691,1.295398436,12,-0.623826033,75.90695845,37.94907021,7.3e-05,0,0.410090848,0.210318585,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","custom","",NA
"20241120_122016",TRUE,"CLS",2004,0.3834570618411,0.410645010715654,2.76281339717222,156,186,189,222,66,67.6409603046295,52.3699629101055,2.55260304286589,1.5457682195584,12,-0.694585501975304,34.7238039905694,18.385788268675,0.00113530762020757,0,0.316722955876113,0.109333658332408,"atlantic","occciv6.0_chlpoly4","full","small","small","2004","1","243","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","147,253","147,152","148,217","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20241120_122153",TRUE,"CLS",2005,0.530261095628529,0.733472552347244,3.07169392565794,98,195,167,236,138,118.680713859053,117.093996987439,2.48481960652138,1.64949300388653,15,-1.61784275177935,88.7223145933574,38.2068944082608,0.00576975213490997,0,0.301983015685245,0.150972994269602,"atlantic","occciv6.0_chlpoly4","full","small","small","2005","1","243","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","54,249","86,152","87,167","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20241121_082547",TRUE,"CLS",2006,0.547015047967819,0.604142076760825,2.84767645556334,132,142,148,164,32,50.4770866942619,50.1585315693079,3.45260343143969,3.19798582762178,NA,-0.53453421965711,18.0048179510982,8.68334761965191,0.00190683220118346,0,0.701355907612284,0.248247773008236,"atlantic","occciv6.0_chlpoly4","full","small","small","2006","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
