"Region","Year","season","weighted_average"
"CLS",1998,"Annual",0.7423633503782
"CLS",1998,"Fall",0.437920246849913
"CLS",1998,"Spring",1.01208729418351
"CLS",1998,"Summer",0.637539289308446
"CLS",1998,"Winter",0.171273692908938
"CLS",1999,"Annual",0.595245150097078
"CLS",1999,"Fall",0.470516319211212
"CLS",1999,"Spring",0.704357971465192
"CLS",1999,"Summer",0.430336817270015
"CLS",1999,"Winter",0.162081929689212
"CLS",2000,"Annual",0.677049906662165
"CLS",2000,"Fall",0.417263041192971
"CLS",2000,"Spring",0.840741584977569
"CLS",2000,"Summer",0.449564930669947
"CLS",2000,"Winter",0.148392491037577
"CLS",2001,"Annual",0.939079038365689
"CLS",2001,"Fall",0.633699377942006
"CLS",2001,"Spring",1.31723524953996
"CLS",2001,"Summer",0.656581822747912
"CLS",2001,"Winter",0.144881953295943
"CLS",2002,"Annual",0.776522286688775
"CLS",2002,"Fall",0.284226909840803
"CLS",2002,"Spring",1.17559242244263
"CLS",2002,"Summer",0.358521116908657
"CLS",2002,"Winter",0.237165308090893
"CLS",2003,"Annual",1.04251495169048
"CLS",2003,"Fall",0.369311353084758
"CLS",2003,"Spring",1.39693144853877
"CLS",2003,"Summer",0.417484349983817
"CLS",2003,"Winter",0.105271342194456
"CLS",2004,"Annual",0.841076352147007
"CLS",2004,"Fall",0.453885804862258
"CLS",2004,"Spring",1.19548116753849
"CLS",2004,"Summer",0.416931570339016
"CLS",2004,"Winter",0.0870957098550958
"CLS",2005,"Annual",1.08445828917559
"CLS",2005,"Fall",0.81837966176313
"CLS",2005,"Spring",1.48837567014831
"CLS",2005,"Summer",0.964323517243125
"CLS",2005,"Winter",0.0979517391255935
"CLS",2006,"Annual",1.30932239527864
"CLS",2006,"Fall",0.761133610479668
"CLS",2006,"Spring",1.65139386287612
"CLS",2006,"Summer",0.548220384530697
"CLS",2006,"Winter",0.153765243371303
"CLS",2007,"Annual",1.13830062702344
"CLS",2007,"Fall",0.57467168893082
"CLS",2007,"Spring",1.62614038936796
"CLS",2007,"Summer",0.847627012321443
"CLS",2007,"Winter",0.176499283939166
"CLS",2008,"Annual",0.836222034171783
"CLS",2008,"Fall",0.409628381760415
"CLS",2008,"Spring",1.31999731758035
"CLS",2008,"Summer",0.242487667127441
"CLS",2008,"Winter",0.0933194736030786
"CLS",2009,"Annual",0.54283959103052
"CLS",2009,"Fall",0.321311377756912
"CLS",2009,"Spring",0.796308509353236
"CLS",2009,"Summer",0.270851361246057
"CLS",2009,"Winter",0.102692791449959
"CLS",2010,"Annual",1.09526898164836
"CLS",2010,"Fall",1.02112363333101
"CLS",2010,"Spring",1.37938705851691
"CLS",2010,"Summer",1.06022346922266
"CLS",2010,"Winter",0.151075331592673
"CLS",2011,"Annual",0.956104694102983
"CLS",2011,"Fall",0.481254592255432
"CLS",2011,"Spring",1.32514484480214
"CLS",2011,"Summer",0.593516996141287
"CLS",2011,"Winter",0.171777673624986
"CLS",2012,"Annual",1.45467365823087
"CLS",2012,"Fall",0.819468178882818
"CLS",2012,"Spring",1.84314944484408
"CLS",2012,"Summer",1.19287590763732
"CLS",2012,"Winter",0.0980669651767622
"CLS",2013,"Annual",0.583509973239591
"CLS",2013,"Fall",0.510384743366622
"CLS",2013,"Spring",0.794014321023027
"CLS",2013,"Summer",0.444503793603796
"CLS",2013,"Winter",0.110328601741376
"CLS",2014,"Annual",1.23957497092653
"CLS",2014,"Fall",0.525380043161025
"CLS",2014,"Spring",1.87175258207309
"CLS",2014,"Summer",0.3696176140303
"CLS",2014,"Winter",0.0857586352131807
"CLS",2015,"Annual",1.92657399249039
"CLS",2015,"Fall",1.04812469695969
"CLS",2015,"Spring",2.2827532629896
"CLS",2015,"Summer",0.495709394667389
"CLS",2015,"Winter",0.101101220406386
"CLS",2016,"Annual",2.17537376813794
"CLS",2016,"Fall",1.05281443690245
"CLS",2016,"Spring",3.05949891312505
"CLS",2016,"Summer",1.89569038800994
"CLS",2016,"Winter",0.095359142947585
"CLS",2017,"Annual",2.20199843094703
"CLS",2017,"Fall",0.699059665619164
"CLS",2017,"Spring",3.13761564185642
"CLS",2017,"Summer",1.34318190816549
"CLS",2017,"Winter",0.11486325336097
"CLS",2018,"Annual",1.20903148380716
"CLS",2018,"Fall",0.486002881059816
"CLS",2018,"Spring",1.60740462474873
"CLS",2018,"Summer",0.837004344949913
"CLS",2018,"Winter",0.711898264953395
"CLS",2019,"Annual",0.952669715753675
"CLS",2019,"Fall",0.594402805503985
"CLS",2019,"Spring",1.65085841481207
"CLS",2019,"Summer",0.596172386852705
"CLS",2019,"Winter",0.103661056426129
"CLS",2020,"Annual",0.902141693983974
"CLS",2020,"Fall",0.617581474028403
"CLS",2020,"Spring",1.25319651107029
"CLS",2020,"Summer",0.731754425723905
"CLS",2020,"Winter",0.0942662867771488
"CLS",2021,"Annual",1.31180291565361
"CLS",2021,"Fall",0.98856017815758
"CLS",2021,"Spring",1.72161406006323
"CLS",2021,"Summer",1.15752867795951
"CLS",2021,"Winter",0.150052029193361
"CLS",2022,"Annual",1.44347796650206
"CLS",2022,"Fall",1.06286048230179
"CLS",2022,"Spring",1.95999045454815
"CLS",2022,"Summer",1.13155151729936
"CLS",2022,"Winter",0.310257062227676
"CLS",2023,"Annual",1.06537340853939
"CLS",2023,"Fall",0.749942192149868
"CLS",2023,"Spring",1.43189385404278
"CLS",2023,"Summer",0.582098079303826
"CLS",2023,"Winter",0.155115993904406
"CLS",2024,"Annual",1.18341304147946
"CLS",2024,"Fall",0.990262107607959
"CLS",2024,"Spring",1.49420212190431
"CLS",2024,"Summer",0.796091416324262
"CLS",2024,"Winter",0.556250988502907
"GS",1998,"Annual",2.21384128825609
"GS",1998,"Fall",0.80113212681068
"GS",1998,"Spring",3.48097735598289
"GS",1998,"Summer",0.692468759570041
"GS",1998,"Winter",0.127038047603821
"GS",1999,"Annual",1.3477222475547
"GS",1999,"Fall",0.609941502248591
"GS",1999,"Spring",3.12193828017389
"GS",1999,"Summer",0.292259812784222
"GS",1999,"Winter",0.205351548335914
"GS",2000,"Annual",1.08303602530264
"GS",2000,"Fall",0.388653097922901
"GS",2000,"Spring",2.24074070189597
"GS",2000,"Summer",0.588562423433177
"GS",2000,"Winter",0.136377156942154
"GS",2001,"Annual",1.75827950650778
"GS",2001,"Fall",0.385446482865845
"GS",2001,"Spring",5.1961580304964
"GS",2001,"Summer",0.34327965363759
"GS",2001,"Winter",0.130338395565767
"GS",2002,"Annual",1.32757957348581
"GS",2002,"Fall",0.362015913574454
"GS",2002,"Spring",4.00976977575483
"GS",2002,"Summer",0.311642607752217
"GS",2002,"Winter",0.262045952013293
"GS",2003,"Annual",2.09524740030707
"GS",2003,"Fall",0.696568807358502
"GS",2003,"Spring",4.05637666064035
"GS",2003,"Summer",0.90225659417079
"GS",2003,"Winter",0.185236133309642
"GS",2004,"Annual",1.46652110143893
"GS",2004,"Fall",1.22401567197454
"GS",2004,"Spring",2.3747648983213
