"datetime_fitted","manual_fit","Region","Year","Annual_Mean","Annual_Median","Annual_StDev","t.start.","t.max_real.","t.max_fit.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","RMSLE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_log_chla","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
"20250310_131239",FALSE,"CSS_V02",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","31,220","52,176","91,180","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","1997,2024","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","custom","",NA
"20250310_180425",TRUE,"CSS_V02",1998,0.455877714962346,0.410581425892158,1.94134780407739,46,77,77,108,62,50.4767703633966,45.0346138821075,2.34846859180028,1.37750372904569,1,-0.236800595718512,29.1801407128926,17.2557130846549,-0.00253922246756143,0,0.21517266495511,0.104384124746933,"atlantic","occciv6.0_chlpoly4","full","small","small","1998","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","17,171","52,145","67,146","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","CSS_V02","",NA
"20250310_180459",TRUE,"CSS_V02",1999,0.425600553970399,0.369480503990071,2.27796444928171,52,80,80,108,56,41.4306832527521,39.5541619612535,1.81566752558345,1.28108293677943,14,0.0717007629510609,21.7620998709434,15.6065144842584,-0.004738576294484,0,0.252349940735802,0.121537451590425,"atlantic","occciv6.0_chlpoly4","full","small","small","1999","1","1","20","sd3","average","","","gauss","symmetric","nofit","TRUE","0.2","17,171","52,145","67,146","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","CSS_V02","",NA
"20250310_180601",TRUE,"CSS_V02",2000,0.383586676775644,0.334756663452495,1.95018767596746,62,101,98,134,72,41.1208244106765,37.0795818650333,1.34120140968871,0.959513814314013,1,-0.103549290292644,28.0922922670932,19.5529460799937,-0.00359755260871493,0,0.16276334322446,0.0905768009353254,"atlantic","occciv6.0_chlpoly4","full","small","small","2000","1","1","20","sd3","average","","","gauss","symmetric","nofit","TRUE","0.2","17,171","52,145","67,146","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","CSS_V02","",NA
"20250310_180952",TRUE,"CSS_V02",2001,0.50314591877702,0.533290764793267,1.86695358260898,52,79,79,106,54,32.6422001973727,30.7175659503512,1.26969859223997,0.998418081713557,4,0.125158661117064,17.1511271634618,15.0491389669635,-0.00497139397324056,0,0.227420001083751,0.165699394339615,"atlantic","occciv6.0_chlpoly4","full","small","small","2001","1","1","20","sd3","average","","","gauss","symmetric","nofit","TRUE","0.2","17,171","52,121","54,146","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","CSS_V02","",NA
"20250310_181108",TRUE,"CSS_V02",2002,0.490459496894954,0.477182629725255,1.81385251408893,74,92,89,104,30,19.9361519935386,19.2611881835182,1.79515257198824,1.18730965014758,1,-0.0944196808477215,11.2333287527911,8.20469334210945,-0.00260613515414688,0,0.230784674081474,0.137958282977695,"atlantic","occciv6.0_chlpoly4","full","small","small","2002","1","1","20","sd3","average","","","gauss","symmetric","nofit","TRUE","0.2","17,171","52,121","54,146","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","CSS_V02","",NA
"20250310_181206",TRUE,"CSS_V02",2003,0.370125235385016,0.278616666246743,2.07726503345726,64,100,89,114,50,65.5068429424106,57.6360941756995,3.37019783695433,2.45788571204815,1,-0.192446238523242,31.933974894423,13.4499303102981,-0.00350735287727943,0,0.461233699695349,0.140945127000248,"atlantic","occciv6.0_chlpoly4","full","small","small","2003","1","1","20","sd3","average","","","gauss","symmetric","nofit","TRUE","0.2","13,171","53,121","58,146","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","CSS_V02","",NA
"20250310_181242",TRUE,"CSS_V02",2004,0.468770438751012,0.423541022512477,2.10025372084096,65,99,90,115,50,55.5053221588875,54.8104675752977,2.97575634345651,2.19294139497251,1,-0.0774688929877679,29.4451177521521,13.9153312070749,-0.00398413552399168,0,0.375129768828296,0.13352802479576,"atlantic","occciv6.0_chlpoly4","full","small","small","2004","1","1","20","sd3","average","","","gauss","symmetric","nofit","TRUE","0.2","13,171","53,121","58,146","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","CSS_V02","",NA
"20250310_181319",TRUE,"CSS_V02",2005,0.433030876089791,0.398247872725514,1.68619952162845,66,79,81,96,30,16.7929937565458,18.9231150246686,1.56288827593604,1.19058264989042,NA,-0.366768346863435,11.9220430332491,8.13175125273191,-0.000142596237137,0,0.209970250612709,0.132908487034127,"atlantic","occciv6.0_chlpoly4","full","small","small","2005","1","1","20","sd3","average","","","gauss","symmetric","nofit","TRUE","0.2","13,171","53,121","58,146","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","CSS_V02","",NA
"20250310_181344",TRUE,"CSS_V02",2006,0.498752313976494,0.502731974779973,1.83259687800359,59,93,83,107,48,30.6281927751679,30.2144093975739,1.5701608769803,1.16972550994243,1,-0.126915061177637,17.7746883422723,13.0250063186509,-0.00245100874698598,0,0.238512918252321,0.121041351144819,"atlantic","occciv6.0_chlpoly4","full","small","small","2006","1","1","20","sd3","average","","","gauss","symmetric","nofit","TRUE","0.2","13,171","53,121","58,146","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","CSS_V02","",NA
