"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max_fit.","t.max_real.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
"20230322_094441",FALSE,"CSS_V02",2003,0.458909097,0.293598188,2.530425412,69,91,97,113,44,73.50500291,62.44323794,5.628783761,3.024176614,125,-0.183234625,27.897018,11.83787051,-0.002454445,0,0.194863241,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","custom","",NA
"20230321_093736",TRUE,"CSS_V02",2004,0.575595947675828,0.439920114974088,2.40221929452048,58,87,102,116,58,66.9440315024651,61.2027325041034,3.33825520622111,2.09993246109901,1,-0.193206370279959,32.7465466690633,16.0798360307406,-0.00257928043161901,0,0.168662923482497,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2004","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","27,179","56,92","57,100","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA
"20230321_093554",TRUE,"CSS_V02",2005,0.498718848008345,0.463960966064474,1.60735124422743,68,83,68,98,30,15.3905253628717,15.8430178934089,1.27496762013411,0.989312118322096,NA,-0.278070767093219,11.2002423430127,8.09707860990077,-0.00163097556765422,0,0.124664113242162,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2005","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","27,118","56,92","57,100","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA
"20230321_093442",TRUE,"CSS_V02",2006,0.695581304261275,0.699609969991953,1.66240668242525,49,82,80,115,66,23.2569753143367,27.1869075397372,1.38260609583173,0.728816540119312,12,-0.241002889468788,18.5321064221361,18.0612095415803,-0.00111357479371617,0,0.143411687666488,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2006","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","17,174","45,108","46,122","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA
"20230321_093256",TRUE,"CSS_V02",2008,0.558542831231718,0.523536954936882,1.43889669799547,62,86,99,110,48,14.743193129782,14.6122661011756,0.847437708060869,0.524986205056114,1,-0.332555169041305,11.3636571934212,13.2261346470207,-0.000315160481287958,0,0.118992172995156,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2008","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","22,144","45,108","46,122","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA
"20230321_092943",TRUE,"CSS_V02",2010,0.674605353746487,0.63752139052162,2.15466304139799,53,82,93,111,58,54.4577747624163,34.5327181179648,7.13146693921797,1.07081923157057,12,0.0673853219959025,19.6765319553515,15.9331880778276,-0.00441241562212454,0,0.183055485754962,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2010","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","14,153","51,90","52,114","percent_thresh","20","0.1","TRUE","TRUE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA
"20230322_094441",FALSE,"CSS_V02",2011,0.614562379,0.53956841,1.804572341,97,106,105,115,18,23.65938885,22.56462725,5.12988029,2.581658053,1,0.008669447,8.425700879,4.643595775,-0.00216737,0,0.166618953,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","custom","",NA
"20230321_092738",TRUE,"CSS_V02",2012,0.644311682123484,0.728758583913473,2.00894047570917,62,81,78,100,38,24.796373305483,23.2498228029147,1.50591334650962,1.09787996413764,1,0.255564397383205,12.0061540616907,10.3598876756374,-0.00609469739441832,0,0.1055713246117,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2012","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","30,153","51,90","52,114","percent_thresh","20","0.1","TRUE","TRUE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA
"20230321_091231",TRUE,"CSS_V02",2013,0.637174612836223,0.612762275189902,1.97804955954922,86,103,101,120,34,52.7810274019315,28.4562920937972,7.40458110982728,1.64417390821381,12,0.0381009617252751,14.7088122927975,9.00045808239381,-0.00353994451023426,0,0.166834518217672,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2013","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","30,167","51,90","52,114","percent_thresh","20","0.1","TRUE","TRUE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA
"20230321_091058",TRUE,"CSS_V02",2014,0.944128656069305,0.820407136833003,1.79683237392418,76,82,81,88,12,18.2978208600199,19.1395611354568,5.21600214224137,3.08649539547647,1,-0.113635171929365,5.84475868121431,3.30866112321772,-7.50068569426923e-05,0,0.165395746866671,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2014","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","30,124","51,90","52,100","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA
"20230322_094441",FALSE,"CSS_V02",2015,0.588933932,0.435573682,2.274602245,83,99,98,115,32,48.23681732,43.0687228,3.930430627,2.668073446,1,0.151183564,16.0875908,8.673516339,-0.003815163,0,0.178893656,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","custom","",NA
"20230321_170617",TRUE,"CSS_V02",2016,0.470955363077924,0.463577474125138,1.58662132176626,83,99,86,115,32,10.8130581127123,12.6220161170949,1.36139617818499,0.706965996519738,12,0.0539398841043892,7.49583884297011,8.42178134100423,-0.00309750703638088,0,0.0952042373460692,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2016","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","63,201","66,176","91,180","percent_thresh","20","0.1","TRUE","TRUE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA
"20230321_085700",TRUE,"CSS_V02",2017,0.581306516345869,0.611616875921868,1.73617262853039,80,94,96,108,28,16.3540679279849,16.0612296315734,1.42452370977221,1.06886530684686,NA,0.0660563616807144,8.91514199047245,7.38723809049029,-0.00366647622786253,0,0.115192519402566,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2017","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","25,157","56,96","57,124","percent_thresh","20","0.1","TRUE","TRUE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA
"20230322_094441",FALSE,"CSS_V02",2018,0.412961577,0.317003172,2.128087749,81,94,90,107,26,35.18808678,40.34503465,3.640830673,3.208917321,NA,-0.026114367,16.07733557,7.134461127,-0.003276122,0,0.145558361,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","custom","",NA
"20230322_094441",FALSE,"CSS_V02",2019,0.565110867,0.470871007,2.309851358,74,93,86,112,38,71.17159504,58.75527199,13.81783863,3.264744156,12,-0.246008119,24.44979901,10.35104654,-0.001395733,0,0.166403064,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","custom","",NA
